,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Social support,Healthy life expectancy,Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Cluster,Year
27,Qatar,Middle East and Northern Africa,28,6.6110000000000015,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2,2018
27,Qatar,Middle East and Northern Africa,28,6.6110000000000015,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2,2019
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,2,2019
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,2,2018
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,2,2015
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,2,2017
28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,2,2015
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,2,2015
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,2,2019
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,2,2017
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,2,2018
29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,2,2015
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2,2019
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2,2017
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2,2018
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2,2015
30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2,2015
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,2,2019
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,2,2018
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,2,2017
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,2,2015
31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,2,2015
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,2,2015
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,2,2018
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,2,2015
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,2,2017
32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,2,2019
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,2,2015
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,2,2019
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,2,2017
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,2,2015
33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,2,2018
34,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.66973,0.32524000000000003,0.13706,2.43872,2,2015
34,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.66973,0.32524000000000003,0.13706,2.43872,2,2019
34,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.66973,0.32524000000000003,0.13706,2.43872,2,2017
